"date","transaction_details","debit","credit","net_amount"
"2024-02-01","Sales - 31-01-2024",819,,819
"2024-02-01","Donation",,5,-5
"2024-02-02","Water CAN",,100,-100
"2024-02-02","Ginger",,40,-40
"2024-02-02","Puff Purchase",,500,-500
"2024-02-02","Toilet brush and Phenyl",,170,-170
"2024-02-02","Sales - 01-02-2024",1320,,1320
"2024-02-03","Garbage Removal expense",,500,-500
"2024-02-03","Puff Purchase",,754,-754
"2024-02-03","Sales - 02-02-2024",949,,949
"2024-02-03","Bhuvaneshwari daily salary - 3/2/2024
",,250,-250
"2024-02-04","Puff Purchase",,560,-560
"2024-02-04","Dabara Set purchase",,780,-780
"2024-02-04","Bhuvaneshwari daily salary - 4/2/2024",,450,-450
"2024-02-04","Donation",,5,-5
"2024-02-04","Sales - 03-02-2024",1220,,1220
"2024-02-05","Donation",,5,-5
"2024-02-05","Puff Purchase",,505,-505
"2024-02-05","Bhuvaneshwari daily salary - 5/2/2024",,250,-250
"2024-02-05","Sales - 04-02-2024",1688,,1688
"2024-02-06","Puff Purchase",,530,-530
"2024-02-06","Stock Purchase - Mint, Ginger",,60,-60
"2024-02-06","Bhuvaneshwari daily salary - 6/2/2024",,200,-200
"2024-02-06","Balaji daily salary - 6/2/2024",,250,-250
"2024-02-06","Rathna babu daily salary - 6/2/2024",,250,-250
"2024-02-06","Cash Transfer to Bank",,200,-200
"2024-02-06","Sales - 05-02-2024",1229,,1229
"2024-02-06","Donation",,10,-10
"2024-02-07","Sales - 06-02-2024",1732,,1732
"2024-02-07","Bhuvaneshwari, Rathna, Balaji daily salary - 7/2/2024",,700,-700
"2024-02-07","Puff Purchase",,566,-566
"2024-02-07","Rat Trap Purchase",,160,-160
"2024-02-07","Sales - 07-02-2024",856,,856
"2024-02-08","Puff Purchase",,566,-566
"2024-02-08","Donation",,5,-5
"2024-02-08","Cash Withdrawal",400,,400
"2024-02-08","Balaji daily salary - 8/2/2024",,250,-250
"2024-02-09","Puff Purchase",,534,-534
"2024-02-09","Electrical items purchase of oven switch box",,133,-133
"2024-02-09","Waste news paper and ice cube purchase",,120,-120
"2024-02-09","Sales - 08-02-2024",1705,,1705
"2024-02-09","Water CAN",,100,-100
"2024-02-09","Furniture - Table purchase",,2000,-2000
"2024-02-09","Cash transfer to bank",,300,-300
"2024-02-10","Sales - 09-02-2024",760,,760
"2024-02-10","Puff Purchase",,566,-566
"2024-02-10","Spring purchase ",,20,-20
"2024-02-10","Bhuvana daily salary - 10/2/2024",,450,-450
"2024-02-10","Stock Purchase -  Rose Syrup",,396,-396
"2024-02-11","Puff Purchase",,854,-854
"2024-02-11","Bhuvana daily salary - 11/2/2024",,500,-500
"2024-02-11","Water CAN",,40,-40
"2024-02-11","Sales - 10-02-2024",710,,710
"2024-02-12","Puff Purchase",,417,-417
"2024-02-12","Sales - 11-02-2024",725,,725
"2024-02-12","Balaji and Rathna daily salary - 12/2/2024",,500,-500
"2024-02-13","Sales - 12-02-2024",760,,760
"2024-02-13","Puff Purchase",,510,-510
"2024-02-13","Rathna daily salary - 13/2/2024",,200,-200
"2024-02-14","Sales - 13-02-2024",921,,921
"2024-02-14","Puff Purchase",,492,-492
"2024-02-14","Balaji and Bhuvana daily salary - 14/2/2024",,350,-350
"2024-02-14","PVC Bush purchase ",,120,-120
"2024-02-14","Corn Flakes and Plate",,420,-420
"2024-02-14","Donation",,5,-5
"2024-02-15","Sales - 14-02-2024",410,,410
"2024-02-15","Puff Purchase",,415,-415
"2024-02-15","Donation",,5,-5
"2024-02-15","Rathna, Balaji and Prasanth daily salary - 15/2/2024",,750,-750
"2024-02-15","Rathna, Bhavani and Prasanth daily salary - 16/2/2024",,750,-750
"2024-02-16","Sales - 15-02-2024",935,,935
"2024-02-16","Cash Withdrawal",2000,,2000
"2024-02-16","Puff Purchase",,550,-550
"2024-02-16","Rathna, Bhavani and Prasanth daily salary - 16/2/2024",,750,-750
"2024-02-17","Puff Purchase",,582,-582
"2024-02-17","Water CAN",,300,-300
"2024-02-17","Bhuvana and Prasanth daily salary - 17/2/2024",,700,-700
"2024-02-17","Sales - 16-02-2024",920,,920
"2024-02-18","Bhuvana and Prasanth daily salary - 18/2/2024",,750,-750
"2024-02-18","Sales - 17-02-2024",1635,,1635
"2024-02-19","Puff Purchase - 2 days",,1188,-1188
"2024-02-19","Rathna, Balaji and Prasanth daily salary - 19/2/2024",,750,-750
"2024-02-19","Sales - 18-02-2024",1460,,1460
"2024-02-20","Puff Purchase",,480,-480
"2024-02-20","Donation",,50,-50
"2024-02-20","Cash Withdrawal - change",2000,,2000
"2024-02-20","Sales - 19-02-2024",270,,270
"2024-02-20","Rathna, Balaji and Prasanth daily salary - 20/2/2024",,750,-750
"2024-02-21","Puff Purchase",,534,-534
"2024-02-21","Collin, Garbage cover and Ant Chalk Purchase",,200,-200
"2024-02-21","Vaishak and Prasanth daily salary - 21/2/2024",,250,-250
"2024-02-21","Sales - 20-02-2024",2470,,2470
"2024-02-22","Vaishak, Balaji and Prasanth daily salary - 22/2/2024",,500,-500
"2024-02-22","Puff Purchase",,295,-295
"2024-02-22","Sales - 21-02-2024",790,,790
"2024-02-23","Sales - 22-02-2024",1265,,1265
"2024-02-23","Puff Purchase",,534,-534
"2024-02-23","Ajith, Vaishak, Rathna and Prasanth daily salary - 23/2/2024",,750,-750
"2024-02-24","Puff Purchase",,550,-550
"2024-02-24","Ice Cream Purchase",,400,-400
"2024-02-24","Ajith, Vaishak, Rathna and Bhuvana daily salary - 24/2/2024",,600,-600
"2024-02-24","Sales - 23-02-2024",595,,595
"2024-02-25","Water Bottle Purchase",,330,-330
"2024-02-25","Sales - 24-02-2024",1205,,1205
"2024-02-25","Rathna and Prasanth daily salary - 25/2/2024",,750,-750
"2024-02-26","Sales - 25-02-2024",1330,,1330
"2024-02-26","Puff Purchase - 2 days",,968,-968
"2024-02-26","Rathna daily salary - 26/2/2024",,250,-250
"2024-02-27","Sales - 26-02-2024",730,,730
"2024-02-27","Puff Purchase",,500,-500
"2024-02-27","Donation",,5,-5
"2024-02-27","Rathna and Bhuvana daily salary - 27/2/2024",,450,-450
"2024-02-28","Sales - 27-02-2024",940,,940
"2024-02-28","Puff Purchase",,452,-452
"2024-02-28","Akash and Vaishak daily salary - 28/2/2024",,250,-250
"2024-02-29","Sales - 28-02-2024",1035,,1035
"2024-02-29","Puff Purchase",,502,-502
"2024-02-29","Ice Cube Purchase",,100,-100
"2024-02-29","Akash, Bhuvana and Rathna daily salary - 29/2/2024",,700,-700
"2024-03-01","Puff Purchase",,454,-454
"2024-03-01","Akash daily salary - 01/03/2024",,250,-250
"2024-03-01","Sales - 29-02-2024",1190,,1190
"2024-03-02","Puff Purchase",,524,-524
"2024-03-02","Donation",,5,-5
"2024-03-02","Akash daily salary - 02/03/2024",,250,-250
"2024-03-02","Sales - 01-03-2024",425,,425
"2024-03-03","Akash daily salary - 03/03/2024",,250,-250
"2024-03-03","Oil Purchase",,202,-202
"2024-03-03","Sales - 02-03-2024",1310,,1310
"2024-03-04","Puff Purchase - 2 days",,838,-838
"2024-03-04","Monthly Garbage collection",,500,-500
"2024-03-04","Sales - 03-03-2024",1485,,1485
"2024-03-04","Akash and Rathna daily salary - 04/03/2024",,300,-300
"2024-03-05","Puff Purchase",,404,-404
"2024-03-05","Donation",,10,-10
"2024-03-05","Akash,  vaishak and Rathna daily salary - 05/03/2024",,550,-550
"2024-03-05","Corn Flakes Purchase",,30,-30
"2024-03-05","Sales - 04-03-2024",930,,930
"2024-03-05"," used oil sale - 12.5 Litres",500,,500
